#MATH 1350	
#Lab Exercises 1	
#Server 2 Download time (seconds for 50 MB test file)	
Trial Number	Time
1	9.39
2	7.46
3	8.85
4	9.58
5	5.31
6	10.8
7	9.21
8	10.38
9	8.25
10	6.89
11	7.1
12	5.93
13	6.62
14	6.49
15	7.46
16	9.3
17	7.32
18	9.97
19	8.33
20	7.1
21	10.49
22	8.08
23	8.25
24	7.46
25	10.28
26	4.85
27	7.03
28	6.11
29	9.12
30	7.77
31	5.75
32	5.99
33	7.61
34	5.16
35	7.54
36	9.21
37	6.17
38	8.58
39	4.39
40	5.99
41	6.55
42	7.1
43	8.5
44	5.42
45	8.58
46	3.71
47	9.58
48	8.17
49	8.67
50	5.99
51	5.58
52	9.49
53	9.3
54	10.07
55	9.12
56	4.9
57	6.11
58	7.77
59	5.58
60	5.1
61	4.81
62	7.54
63	7.85
64	5.26
65	10.38
66	14.44
67	13.33
68	8.33
69	6.55
70	7.39
71	8.67
72	7.77
73	7.54
74	4.85
75	7.61
76	9.03
77	6.82
78	6.82
79	5.58
80	7.39
81	6.36
82	6.89
83	5.21
84	8.5
85	4.81
86	8
87	5.87
88	8.33
89	7.46
90	10.07
91	8
92	7.85
93	7.46
94	8.76
95	7.46
96	13.87
97	9.49
98	5.37
99	5.64
100	8.85
101	3.86
102	10.28
103	8.41
104	9.21
105	6.69
106	10.18
107	4.95
108	7.85
109	16.78
110	12.55
111	10.49
112	7.46
113	5.53
114	4.62
115	9.12
116	6.96
117	7.24
118	6.17
119	9.49
120	5.16
121	5.21
122	6.49
123	8.94
124	8.33
125	14.59
126	6.3
127	8.17
128	7.17
129	5.26
130	6.49
131	10.91
132	5.53
133	7.77
134	7.85
135	7.92
136	7.54
137	5.58
138	9.21
139	8.85
140	6.42
141	6.23
142	6.36
143	8.5
144	7.17
145	8.08
146	6.05
147	6.42
148	9.49
149	5.37
150	6.55
151	9.21
152	3.9
153	7.46
154	9.12
155	5.7
156	9.87
157	4.53
158	8.76
159	6.82
160	8.58
161	6.36
162	5.87
163	6.62
164	8.5
165	6.55
166	7.24
167	9.03
168	6.11
169	7.03
170	9.21
171	5.75
172	9.49
173	9.21
174	7.03
175	10.49
176	7.32
177	4.62
178	6.96
179	9.68
180	10.91
181	8.08
182	4.76
183	7.92
184	8.17
185	7.85
186	5.81
187	10.91
188	6.17
189	7.85
190	5.05
191	7.32
192	8.41
193	4.85
194	6.89
195	4.71
196	6.75
197	8.94
198	6.89
199	6.62
200	5.75
201	6.75
202	12.3
203	7.69
204	7.92
205	5.7
206	5.87
207	5.81
208	7.17
209	7.46
210	7.24
211	4.62
212	5.93
213	7.69
214	6.17
215	5.99
216	9.12
217	8.17
218	12.06
219	7.77
220	9.12
221	6.89
222	9.58
223	5.58
224	6.62
225	8.17
226	8.58
227	7.17
228	11.82
229	6.17
230	7.03
231	6.23
232	5.26
233	7.32
234	8.08
235	8.08
236	10.91
237	5.53
238	9.3
239	10.91
240	6.82
241	9.49
242	11.13
243	9.58
244	4.35
245	5.21
246	8.17
247	5.26
248	6.11
249	8.76
250	8
251	9.78
252	4.81
253	7.77
254	7.1
255	5.99
256	7.32
257	7.1
258	5.99
259	6.89
260	5.81
